mix_type,method,weight,history,n_iter
Hamiltonian,Linear,0.05,3,79.69
Hamiltonian,Linear,0.05,5,28.94
Hamiltonian,Linear,0.05,8,39.59
Hamiltonian,Linear,0.1,3,36.41
Hamiltonian,Linear,0.1,5,43.68
Hamiltonian,Linear,0.1,8,30.43
Hamiltonian,Linear,0.2,3,36.36
Hamiltonian,Linear,0.2,5,44.95
Hamiltonian,Linear,0.2,8,44.81
Hamiltonian,Linear,0.4,3,38.14
Hamiltonian,Linear,0.4,5,37.66
Hamiltonian,Linear,0.4,8,13.76
Hamiltonian,Linear,0.6,3,21.47
Hamiltonian,Linear,0.6,5,14.59
Hamiltonian,Linear,0.6,8,16.93
Hamiltonian,Linear,0.9,3,13.85
Hamiltonian,Linear,0.9,5,12.18
Hamiltonian,Linear,0.9,8,12.69
Hamiltonian,Pulay,0.05,3,11.57
Hamiltonian,Pulay,0.05,5,14.81
Hamiltonian,Pulay,0.05,8,22.25
Hamiltonian,Pulay,0.1,3,14.93
Hamiltonian,Pulay,0.1,5,14.71
Hamiltonian,Pulay,0.1,8,18.35
Hamiltonian,Pulay,0.2,3,12.84
Hamiltonian,Pulay,0.2,5,13.68
Hamiltonian,Pulay,0.2,8,17.36
Hamiltonian,Pulay,0.4,3,16.55
Hamiltonian,Pulay,0.4,5,17.51
Hamiltonian,Pulay,0.4,8,13.07
Hamiltonian,Pulay,0.6,3,13.28
Hamiltonian,Pulay,0.6,5,12.61
Hamiltonian,Pulay,0.6,8,13.39
Hamiltonian,Pulay,0.9,3,15.72
Hamiltonian,Pulay,0.9,5,13.76
Hamiltonian,Pulay,0.9,8,13.69
Hamiltonian,Broyden,0.05,3,12.27
Hamiltonian,Broyden,0.05,5,14.54
Hamiltonian,Broyden,0.05,8,14.17
Hamiltonian,Broyden,0.1,3,14.49
Hamiltonian,Broyden,0.1,5,13.62
Hamiltonian,Broyden,0.1,8,14.91
Hamiltonian,Broyden,0.2,3,13.51
Hamiltonian,Broyden,0.2,5,20.40
Hamiltonian,Broyden,0.2,8,15.00
Hamiltonian,Broyden,0.4,3,12.61
Hamiltonian,Broyden,0.4,5,12.26
Hamiltonian,Broyden,0.4,8,12.39
Hamiltonian,Broyden,0.6,3,12.03
Hamiltonian,Broyden,0.6,5,19.48
Hamiltonian,Broyden,0.6,8,11.97
Hamiltonian,Broyden,0.9,3,13.48
Hamiltonian,Broyden,0.9,5,14.84
Hamiltonian,Broyden,0.9,8,18.24
Density,Linear,0.05,3,13.01
Density,Linear,0.05,5,18.54
Density,Linear,0.05,8,11.22
Density,Linear,0.1,3,17.28
Density,Linear,0.1,5,15.92
Density,Linear,0.1,8,15.55
Density,Linear,0.2,3,18.83
Density,Linear,0.2,5,13.24
Density,Linear,0.2,8,11.52
Density,Linear,0.4,3,21.30
Density,Linear,0.4,5,13.64
Density,Linear,0.4,8,22.19
Density,Linear,0.6,3,15.42
Density,Linear,0.6,5,21.01
Density,Linear,0.6,8,14.18
Density,Linear,0.9,3,17.64
Density,Linear,0.9,5,14.93
Density,Linear,0.9,8,14.09
Density,Pulay,0.05,3,15.57
Density,Pulay,0.05,5,12.99
Density,Pulay,0.05,8,15.03
Density,Pulay,0.1,3,11.68
Density,Pulay,0.1,5,13.43
Density,Pulay,0.1,8,14.94
Density,Pulay,0.2,3,13.37
Density,Pulay,0.2,5,18.92
Density,Pulay,0.2,8,20.84
Density,Pulay,0.4,3,15.19
Density,Pulay,0.4,5,21.20
Density,Pulay,0.4,8,14.07
Density,Pulay,0.6,3,20.94
Density,Pulay,0.6,5,16.55
Density,Pulay,0.6,8,18.08
Density,Pulay,0.9,3,13.46
Density,Pulay,0.9,5,16.29
Density,Pulay,0.9,8,14.35
Density,Broyden,0.05,3,17.90
Density,Broyden,0.05,5,14.16
Density,Broyden,0.05,8,12.75
Density,Broyden,0.1,3,14.03
Density,Broyden,0.1,5,13.39
Density,Broyden,0.1,8,12.46
Density,Broyden,0.2,3,18.56
Density,Broyden,0.2,5,13.43
Density,Broyden,0.2,8,15.77
Density,Broyden,0.4,3,13.13
Density,Broyden,0.4,5,13.12
Density,Broyden,0.4,8,15.46
Density,Broyden,0.6,3,16.32
Density,Broyden,0.6,5,13.96
Density,Broyden,0.6,8,15.09
Density,Broyden,0.9,3,13.27
Density,Broyden,0.9,5,14.20
Density,Broyden,0.9,8,13.44
